Country,Year,Variable,Value,Unit,Value_low,Value_high,Source,Source_type,Source_tier,Geographic_scope,Convertible_to_tPb,Variable_definition,Notes
Austria,2012,COLLECT,9994,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2013,COLLECT,14185,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2014,COLLECT,18854,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2015,COLLECT,19773,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2016,COLLECT,20798,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2017,COLLECT,20151,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2018,COLLECT,13246,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2019,COLLECT,19080,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2020,COLLECT,17812,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
Austria,2021,COLLECT,20156,t LAB/yr,,,Eurostat env_wasbat Table 3a — Lead-acid batteries input fractions to recycling process,official_stat,1,country,FALSE,Lead-acid batteries entering formal recycling process (tonnes LAB/yr — convert to t Pb using 0.65 factor),Unit: tonnes of lead-acid batteries (NOT t Pb). Convert: value × 0.65 ≈ t Pb (SLI) or × 0.70 (industrial mix). Represents batteries entering recycling process — closest proxy for COLLECT. 
