year,country_trans,bgs_commodity_trans,Mass of Pb,concat_figure_notes_text,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
1971,Sweden,"lead, refined",39382,,,,,,,,,,,,,
1971,USA,"lead, refined",593600,,,,,,,,,,,,,
1971,Iran,"lead, mine",29937,Years ended 20 March following that stated.,,,,,,,,,,,,
1971,Thailand,"lead, mine",1386,,,,,,,,,,,,,
1971,Spain,"lead, mine",70150,,,,,,,,,,,,,
1971,Tunisia,"lead, mine",20700,,,,,,,,,,,,,
1971,Soviet Union,"lead, refined",550000,Estimates.,,,,,,,,,,,,
1971,India,"lead, refined",1539,,,,,,,,,,,,,
1971,Turkey,"lead, mine",7000,,,,,,,,,,,,,
1971,Guatemala,"lead, refined",89,,,,,,,,,,,,,
1971,Guatemala,"lead, mine",153,Recoverable.,,,,,,,,,,,,
1971,Romania,"lead, mine",40000,Estimates.,,,,,,,,,,,,
1971,United Kingdom,"lead, refined",38628,,,,,,,,,,,,,
1971,Peru,"lead, mine",165814,Recoverable.,,,,,,,,,,,,
1971,USA,"lead, mine",524852,Recoverable.,,,,,,,,,,,,
1971,Poland,"lead, mine",69500,,,,,,,,,,,,,
1971,Argentina,"lead, refined",43800,,,,,,,,,,,,,
1971,German Democratic Rep,"lead, mine",5000,Estimates.,,,,,,,,,,,,
1971,Sweden,"lead, mine",79454,,,,,,,,,,,,,
1971,Hungary,"lead, mine",1735,Estimates.,,,,,,,,,,,,
1971,"Ireland, Republic of","lead, mine",51592,,,,,,,,,,,,,
1971,Greenland,"lead, mine",0,,,,,,,,,,,,,
1971,Portugal,"lead, mine",1383,,,,,,,,,,,,,
1971,"Korea, Dem. P.R. of","lead, mine",80000,Estimates.,,,,,,,,,,,,
1971,Spain,"lead, refined",72146,,,,,,,,,,,,,
1971,Argentina,"lead, mine",39882,,,,,,,,,,,,,
1971,Bulgaria,"lead, mine",100000,,,,,,,,,,,,,
1971,Portugal,"lead, refined",1200,,,,,,,,,,,,,
1971,Soviet Union,"lead, mine",454000,Estimates.,,,,,,,,,,,,
1971,Tunisia,"lead, refined",18800,,,,,,,,,,,,,
1971,Finland,"lead, mine",4739,Recoverable.,,,,,,,,,,,,
1971,Japan,"lead, refined",215054,,,,,,,,,,,,,
1971,France,"lead, mine",29759,,,,,,,,,,,,,
1971,"Korea, Dem. P.R. of","lead, refined",55000,Estimates.,,,,,,,,,,,,
1971,Romania,"lead, refined",40000,Estimates.,,,,,,,,,,,,
1971,India,"lead, mine",3300,,,,,,,,,,,,,
1971,Austria,"lead, mine",7715,,,,,,,,,,,,,
1971,Canada,"lead, refined",168332,,,,,,,,,,,,,
1971,Nigeria,"lead, mine",215,,,,,,,,,,,,,
1971,Korea (Rep. of),"lead, mine",16543,,,,,,,,,,,,,
1971,Morocco,"lead, mine",78000,,,,,,,,,,,,,
1971,Greece,"lead, mine",11168,,,,,,,,,,,,,
1971,Peru,"lead, refined",67515,,,,,,,,,,,,,
1971,Italy,"lead, mine",31600,,,,,,,,,,,,,
1971,China,"lead, refined",120000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1971,United Kingdom,"lead, mine",4973,,,,,,,,,,,,,
1971,German Federal Republic,"lead, refined",98400,,,,,,,,,,,,,
1971,Norway,"lead, mine",3160,,,,,,,,,,,,,
1971,Algeria,"lead, mine",4717,,,,,,,,,,,,,
1971,Australia,"lead, mine",403557,,,,,,,,,,,,,
1971,Honduras,"lead, mine",17940,,,,,,,,,,,,,
1971,Poland,"lead, refined",60200,,,,,,,,,,,,,
1971,Mexico,"lead, refined",158800,,,,,,,,,,,,,
1971,German Federal Republic,"lead, mine",39754,,,,,,,,,,,,,
1971,Congo,"lead, mine",29,,,,,,,,,,,,,
1971,Turkey,"lead, refined",3200,,,,,,,,,,,,,
1971,Brazil,"lead, mine",27836,,,,,,,,,,,,,
1971,Morocco,"lead, refined",18716,,,,,,,,,,,,,
1971,Zambia,"lead, refined",27700,,,,,,,,,,,,,
1971,Austria,"lead, refined",14011,Including secondary metal.,,,,,,,,,,,,
1971,France,"lead, refined",108310,,,,,,,,,,,,,
1971,Italy,"lead, refined",48486,,,,,,,,,,,,,
1971,Yugoslavia,"lead, refined",118748,,,,,,,,,,,,,
1971,Greece,"lead, refined",17119,,,,,,,,,,,,,
1971,Chile,"lead, mine",881,,,,,,,,,,,,,
1971,Canada,"lead, mine",394778,,,,,,,,,,,,,
1971,Czechoslovakia,"lead, mine",7000,,,,,,,,,,,,,
1971,Australia,"lead, refined",324784,,,,,,,,,,,,,
1971,Japan,"lead, mine",70586,,,,,,,,,,,,,
1971,Bulgaria,"lead, refined",102000,Estimates.,,,,,,,,,,,,
1971,Yugoslavia,"lead, mine",124347,,,,,,,,,,,,,
1971,Mexico,"lead, mine",156800,,,,,,,,,,,,,
1971,Norway,"lead, refined",680,,,,,,,,,,,,,
1971,Colombia,"lead, mine",411,,,,,,,,,,,,,
1971,Namibia,"lead, refined",69800,,,,,,,,,,,,,
1971,German Democratic Rep,"lead, refined",20000,Estimates.|Including secondary metal.,,,,,,,,,,,,
1971,Myanmar,"lead, refined",12000,,,,,,,,,,,,,
1971,Myanmar,"lead, mine",9000,Estimates.,,,,,,,,,,,,
1971,Belgium,"lead, refined",93924,Including secondary metal.,,,,,,,,,,,,
1971,Brazil,"lead, refined",25737,,,,,,,,,,,,,
1971,Czechoslovakia,"lead, refined",17609,,,,,,,,,,,,,
1971,Namibia,"lead, mine",73200,Estimates.,,,,,,,,,,,,
1971,China,"lead, mine",100000,Estimates.,,,,,,,,,,,,
1972,Brazil,"lead, mine",29880,,,,,,,,,,,,,
1972,China,"lead, mine",125000,Estimates.,,,,,,,,,,,,
1972,Czechoslovakia,"lead, refined",18163,,,,,,,,,,,,,
1972,Zambia,"lead, refined",26005,,,,,,,,,,,,,
1972,Bulgaria,"lead, refined",102000,Estimates.,,,,,,,,,,,,
1972,Namibia,"lead, mine",53000,,,,,,,,,,,,,
1972,Colombia,"lead, mine",126,,,,,,,,,,,,,
1972,Yugoslavia,"lead, refined",87500,,,,,,,,,,,,,
1972,Canada,"lead, mine",370029,,,,,,,,,,,,,
1972,Namibia,"lead, refined",64700,,,,,,,,,,,,,
1972,Yugoslavia,"lead, mine",120173,,,,,,,,,,,,,
1972,Myanmar,"lead, mine",7600,,,,,,,,,,,,,
1972,Chile,"lead, mine",462,,,,,,,,,,,,,
1972,Italy,"lead, refined",69200,,,,,,,,,,,,,
1972,Austria,"lead, refined",15418,Including secondary metal.,,,,,,,,,,,,
1972,France,"lead, refined",186853,,,,,,,,,,,,,
1972,Greece,"lead, refined",20400,,,,,,,,,,,,,
1972,Brazil,"lead, refined",25007,,,,,,,,,,,,,
1972,Australia,"lead, refined",179743,,,,,,,,,,,,,
1972,Japan,"lead, mine",63449,,,,,,,,,,,,,
1972,Mexico,"lead, mine",161358,,,,,,,,,,,,,
1972,Denmark,"lead, refined",12000,,,,,,,,,,,,,
1972,Norway,"lead, refined",700,,,,,,,,,,,,,
1972,Myanmar,"lead, refined",7600,,,,,,,,,,,,,
1972,Belgium,"lead, refined",106700,Including secondary metal.,,,,,,,,,,,,
1972,German Democratic Rep,"lead, refined",33000,Estimates.|Including secondary metal.,,,,,,,,,,,,
