country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Argentina,2015,29834,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-argentina.xlsx
Argentina,2016,28016,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-argentina.xlsx
Argentina,2017,40135,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Argentina-ert.xlsx
Argentina,2018,28260,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Argentina-ert.xlsx
Argentina,2019,42957,r,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Argentina-ert.xlsx
Argentina,2020,23008,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Argentina-ert.xlsx
Argentina,2021,17098,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Argentina-ert.xlsx
Australia,2015,653488,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-australia.xls
Australia,2016,441338,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-australia.xls
Australia,2017,395190,r,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-australia.xlsx
Australia,2018,446571,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-australia.xlsx
Australia,2019,500985,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-australia.xlsx
Australia,2020,494271,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-australia.xlsx
Australia,2021,485487,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-australia.xlsx
Australia,2022,437825,r,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-australia.xlsx
Australia,2023,472242,,2023,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-australia.xlsx
Bolivia,2015,75273,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-bolivia.xlsx
Bolivia,2016,89510,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-bolivia.xlsx
Bolivia,2017,111566,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2018,112047,r,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2019,88341,r,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2020,64619,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2021,93246,,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx
Brazil,2015,9440,,2019,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-brazil.xlsx
Brazil,2016,8134,,2019,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-brazil.xlsx
Brazil,2017,6862,,2020,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Brazil-ERT.xlsx
Brazil,2018,7000,e,2020,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Brazil-ERT.xlsx
Brazil,2019,5715,r,2020,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Brazil-ERT.xlsx
Brazil,2020,5352,,2020,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Brazil-ERT.xlsx
Brazil,2021,6307,,2020,mine_production_pb_content,"Lead > Mine, concentrate, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Brazil-ERT.xlsx
Bulgaria,2015,18700,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-bulgaria.xlsx
Bulgaria,2016,23600,,2019,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-bulgaria.xlsx
Bulgaria,2017,31600,r,2020,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Bulgaria-advrel.xlsx
Bulgaria,2018,26532,,2022,mine_production_pb_content,"Lead > Mine, Pb content","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-Bulgaria-advrel.xlsx
