country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file
Argentina,2015,8000,e,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-argentina.xlsx
Argentina,2016,8000,e,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-argentina.xlsx
Argentina,2017,10000,e,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Argentina-ert.xlsx
Australia,2015,182258,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-australia.xls
Australia,2016,182830,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2019-australia.xls
Australia,2017,168300,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-australia.xlsx
Australia,2018,155482,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-australia.xlsx
Australia,2019,89999,r,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-australia.xlsx
Australia,2020,133879,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-australia.xlsx
Australia,2021,137903,r,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-australia.xlsx
Australia,2022,143978,r,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-australia.xlsx
Australia,2023,186458,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-australia.xlsx
Bolivia,2015,459,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-bolivia.xlsx
Bolivia,2016,41,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-bolivia.xlsx
Bolivia,2017,1160,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2018,635,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2019,551,r,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2020,186,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx
Bolivia,2021,326,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx
Bulgaria,2017,56000,e,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bulgaria-advrel.xlsx
Bulgaria,2018,71697,r,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2019,71595,r,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2020,72992,r,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2021,71822,r,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-Bulgaria-advrel.xlsx
Bulgaria,2022,69709,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2022-Bulgaria-advrel.xlsx
Burma,2015,600,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-burma.xlsx
Burma,2016,5900,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-burma.xlsx
Burma,2017,12000,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-burma.xlsx
Burma,2018,12000,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2019-burma.xlsx
Burma,2019,12000,,2019,refined_primary,"Lead > Refinery, primary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2019-burma.xlsx
Canada,2015,127264,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-canada.xlsx
Canada,2016,142076,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-canada.xlsx
Canada,2017,124555,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-canada.xlsx
Canada,2018,120000,e,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-canada.xlsx
Canada,2019,112909,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2022-canada.xlsx
Canada,2020,54000,e,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
Canada,2021,59000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
Canada,2022,42000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2022-canada.xlsx
China,2015,2870000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,8,myb3-2019-china.xlsx
China,2016,3017000,,2019,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2019-china.xlsx
China,2017,2649000,,2020,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2020-21-china.xlsx
China,2018,2691000,,2022,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,8,myb3-2022-china.xlsx
China,2019,2734000,,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,8,myb3-2023-china.xlsx
China,2020,2800000,e,2023,refined_primary,Lead > Refinery > Primary,"Metric tons, gross weight, unless otherwise specified",corrected_x1000_China_footnote,6,myb3-2023-china.xlsx
