country,year,value_metric_t,footnote,yearbook_year,commodity_category_used,commodity,unit_original,unit_converted,n_source_rows,source_file,,,,
Argentina,2015,33000,,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-argentina.xlsx,,,,
Argentina,2016,33000,,2019,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-argentina.xlsx,,,,
Argentina,2017,30000,r,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Argentina-ert.xlsx,,,,
Argentina,2018,26000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Argentina-ert.xlsx,,,,
Argentina,2019,28000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Argentina-ert.xlsx,,,,
Argentina,2020,19000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Argentina-ert.xlsx,,,,
Argentina,2021,22000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Argentina-ert.xlsx,,,,
Australia,2015,45000,,2019,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2019-australia.xls,,,,
Australia,2016,41000,,2019,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-australia.xls,,,,
Australia,2017,43000,,2020,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-australia.xlsx,,,,
Australia,2018,33000,,2022,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2022-australia.xlsx,,,,
Australia,2019,35000,,2023,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,4,myb3-2023-australia.xlsx,,,,
Australia,2020,35000,,2023,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-australia.xlsx,,,,
Australia,2021,29000,,2023,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2023-australia.xlsx,,,,
Australia,2022,23000,,2023,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2023-australia.xlsx,,,,
Australia,2023,35000,,2023,refined_secondary,"Lead > Refinery > Secondary, excluding remelt","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2023-australia.xlsx,,,,
Austria,2015,24399,,2019,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,4,myb3-2019-austria.xlsx,,,,
Austria,2016,24000,e,2019,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,3,myb3-2019-austria.xlsx,,,,
Austria,2017,24000,,2020,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,3,myb3-2020-21-Austria-advrelf.xlsx,,,,
Austria,2018,27000,r,2022,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,4,myb3-2022-Austria-ert.xlsx,,,,
Austria,2019,27000,,2022,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,3,myb3-2022-Austria-ert.xlsx,,,,
Austria,2020,27000,,2022,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,2,myb3-2022-Austria-ert.xlsx,,,,
Austria,2021,28000,,2022,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,2,myb3-2022-Austria-ert.xlsx,,,,
Austria,2022,28000,,2022,refined_secondary,"Lead, refinery, secondary",metric tons,metric_tonnes,1,myb3-2022-Austria-ert.xlsx,,,,
Belgium,2015,130000,,2019,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2019-belgium.xlsx,,,,
Belgium,2016,141000,,2019,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2019-belgium.xlsx,,,,
Belgium,2017,139000,r,2020,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2020-21-belgium.xlsx,,,,
Belgium,2018,138106,r,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,4,myb3-2022-Belgium-advrel.xlsx,,,,
Belgium,2019,138618,r,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,3,myb3-2022-Belgium-advrel.xlsx,,,,
Belgium,2020,122748,r,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,2,myb3-2022-Belgium-advrel.xlsx,,,,
Belgium,2021,155840,r,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,2,myb3-2022-Belgium-advrel.xlsx,,,,
Belgium,2022,109000,e,2022,refined_secondary,"Lead, refinery, secondary",thousand metric tons,kept_as_mt_mislabelled_thousands,1,myb3-2022-Belgium-advrel.xlsx,,,,
Bolivia,2017,3000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx,,,,
Bolivia,2018,3000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx,,,,
Bolivia,2019,3000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx,,,,
Bolivia,2020,3000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx,,,,
Bolivia,2021,3000,,2020,refined_secondary,Lead > Refinery > Secondary,"Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Bolivia-advrel.xlsx,,,,
Brazil,2015,152161,,2019,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-brazil.xlsx,,,,
Brazil,2016,156186,,2019,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2019-brazil.xlsx,,,,
Brazil,2017,240000,r,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2018,250000,r,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,3,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2019,254000,r,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,2,myb3-2020-21-Brazil-ERT.xlsx,,,,
Brazil,2020,260000,,2020,refined_secondary,"Lead > Refinery, secondary","Metric tons, gross weight, unless otherwise specified",metric_tonnes,1,myb3-2020-21-Brazil-ERT.xlsx,,,,
