country,primary_capacity_t_2012,secondary_capacity_t_2012,total_capacity_t_2012,primary_capacity_t_2013,secondary_capacity_t_2013,total_capacity_t_2013,primary_capacity_t_2014,secondary_capacity_t_2014,total_capacity_t_2014,primary_capacity_t_2015,secondary_capacity_t_2015,total_capacity_t_2015,primary_capacity_t_2016,secondary_capacity_t_2016,total_capacity_t_2016,primary_capacity_t_2017,secondary_capacity_t_2017,total_capacity_t_2017,primary_capacity_t_2018,secondary_capacity_t_2018,total_capacity_t_2018,primary_capacity_t_2019,secondary_capacity_t_2019,total_capacity_t_2019,primary_capacity_t_2020,secondary_capacity_t_2020,total_capacity_t_2020,primary_capacity_t_2021,secondary_capacity_t_2021,total_capacity_t_2021,primary_capacity_t_2022,secondary_capacity_t_2022,total_capacity_t_2022,primary_capacity_t_2023,secondary_capacity_t_2023,total_capacity_t_2023,primary_capacity_t_2024,secondary_capacity_t_2024,total_capacity_t_2024
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200
Algeria,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000
Argentina,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600
Australia,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000
Austria,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000
Azerbaijan,0,0,0,0,0,0,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000
Belarus,0,12000,12000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000
Belgium,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000
Bolivia,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000
Brazil,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000
Bulgaria,0,50000,50000,0,50000,50000,0,50000,50000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000
Cameroon,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000
Canada,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500
Chile,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000
China,3756000,3080000,6836000,3856000,3080000,6936000,3916000,3980000,7896000,3916000,3980000,7896000,3916000,3980000,7896000,3916000,3980000,7896000,3916000,4040000,7956000,3976000,4820000,8796000,4036000,6316000,10352000,4036000,7606000,11642000,4496000,7886000,12382000,4496000,8086000,12582000,4496000,8406000,12902000
Colombia,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000
